Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1602.2987962790694
FDW14,OUT017,1349.5129043321313
NCN55,OUT010,542.975539597315
FDQ58,OUT017,2222.671282258065
FDY38,OUT027,6280.89088
FDH56,OUT046,1800.1922229508193
FDL48,OUT018,754.5960957264949
FDC48,OUT027,2517.882088484848
FDN33,OUT045,1559.3429752688173
FDA36,OUT017,3163.328647457628
FDT44,OUT017,1800.1922229508193
FDQ56,OUT045,1349.5129043321313
NCC54,OUT019,542.975539597315
FDU11,OUT049,1914.7023663366338
DRL59,OUT013,754.5960957264949
FDM24,OUT049,2490.5268867052023
FDI57,OUT045,2880.9695613636377
DRC12,OUT018,2880.9695613636377
NCM42,OUT027,3242.062071532848
FDA46,OUT010,542.975539597315
FDA31,OUT013,2851.631695876288
NCJ31,OUT035,3910.2853034965024
FDG52,OUT046,754.5960957264949
NCL19,OUT019,256.9193926605505
FDS10,OUT035,2880.9695613636377
FDX22,OUT010,542.975539597315
NCF19,OUT035,754.5960957264949
NCE06,OUT046,2222.671282258065
DRC27,OUT046,3910.2853034965024
FDE21,OUT035,1800.1922229508193
NCR42,OUT019,130.3334905660377
FDX51,OUT018,2917.3097035714286
NCR06,OUT018,602.0762820000002
FDU31,OUT027,5329.314724444444
FDU59,OUT017,2611.4595423423416
FDR03,OUT027,5329.314724444444
FDS49,OUT027,2517.882088484848
FDD48,OUT010,256.9193926605505
NCF18,OUT017,2880.9695613636377
NCD43,OUT027,2517.882088484848
NCD54,OUT018,1752.2524399999998
FDY19,OUT010,256.9193926605505
NCY54,OUT017,2851.631695876288
NCL19,OUT018,2232.8470218487396
FDP23,OUT010,542.975539597315
FDC26,OUT013,1602.2987962790694
FDR14,OUT010,130.3334905660377
NCS41,OUT035,3389.2269793548367
FDF41,OUT035,3910.2853034965024
FDU34,OUT046,2084.985989999999
DRH11,OUT046,876.32057979798
FDM03,OUT013,1602.2987962790694
FDS31,OUT017,3389.2269793548367
FDJ20,OUT017,2084.985989999999
FDV44,OUT027,5329.314724444444
FDG02,OUT049,3276.414603846153
FDA09,OUT013,2851.631695876288
FDT04,OUT013,602.0762820000002
FDL58,OUT019,542.975539597315
FDE52,OUT045,1349.5129043321313
FDW12,OUT035,2490.5268867052023
FDL51,OUT017,3487.388307006369
NCY42,OUT027,3242.062071532848
FDR07,OUT017,1559.3429752688173
FDN40,OUT045,2490.5268867052023
FDB35,OUT027,2517.882088484848
FDA22,OUT017,2611.4595423423416
NCL06,OUT046,4034.300306896551
FDI35,OUT013,3389.2269793548367
NCW42,OUT045,3487.388307006369
NCX06,OUT049,2568.332833644859
FDC37,OUT027,2517.882088484848
FDZ14,OUT018,1752.2524399999998
DRG49,OUT049,3910.2853034965024
NCG06,OUT045,4034.300306896551
DRC36,OUT045,2851.631695876288
FDV21,OUT019,256.9193926605505
FDB53,OUT046,2660.9504030303033
DRP47,OUT019,542.975539597315
FDA14,OUT013,2660.9504030303033
DRC24,OUT035,2660.9504030303033
FDW21,OUT018,1372.688490740741
NCH29,OUT046,1559.3429752688173
FDU58,OUT013,2917.3097035714286
FDY27,OUT017,2851.631695876288
FDV56,OUT035,1784.4287381818183
FDT59,OUT046,4081.0991234375015
FDB23,OUT046,4081.0991234375015
FDR49,OUT045,754.5960957264949
FDB03,OUT010,542.975539597315
FDN39,OUT045,2453.7477006993017
FDX02,OUT027,5329.314724444444
FDQ16,OUT027,2517.882088484848
FDU35,OUT018,1372.688490740741
NCT29,OUT013,2084.985989999999
FDZ27,OUT046,754.5960957264949
FDN57,OUT017,2084.985989999999
FDA03,OUT018,2232.8470218487396
FDZ36,OUT045,3389.2269793548367
NCU05,OUT013,1349.5129043321313
FDT39,OUT018,2232.8470218487396
FDK60,OUT017,1559.3429752688173
FDZ25,OUT017,2894.220710714286
FDG12,OUT046,1914.7023663366338
DRB01,OUT019,542.975539597315
NCC43,OUT027,6280.89088
FDX13,OUT019,542.975539597315
FDM22,OUT049,876.32057979798
FDJ03,OUT027,1378.2631852760742
FDU14,OUT018,3327.9525829268296
FDB33,OUT010,384.48867398374
FDP27,OUT046,3276.414603846153
FDO38,OUT010,130.3334905660377
FDE28,OUT027,6280.89088
FDO27,OUT035,1559.3429752688173
DRL23,OUT027,2517.882088484848
FDS28,OUT046,876.32057979798
FDX24,OUT013,1349.5129043321313
FDZ02,OUT035,1559.3429752688173
FDL46,OUT045,1800.1922229508193
FDS60,OUT027,5329.314724444444
NCO06,OUT017,602.0762820000002
FDO16,OUT035,1349.5129043321313
FDC60,OUT049,1349.5129043321313
FDA48,OUT018,3327.9525829268296
FDZ36,OUT027,5329.314724444444
FDK27,OUT045,2179.355240677965
FDW23,OUT018,602.0762820000002
FDM14,OUT018,1372.688490740741
FDM14,OUT013,1602.2987962790694
FDW60,OUT018,2851.631695876288
FDE21,OUT013,1800.1922229508193
NCM42,OUT035,1879.0540500000009
FDY59,OUT010,256.9193926605505
DRI49,OUT049,1349.5129043321313
FDT28,OUT019,384.48867398374
FDQ22,OUT018,602.0762820000002
FDR60,OUT049,1349.5129043321313
FDC50,OUT019,256.9193926605505
FDV24,OUT013,2490.5268867052023
DRF48,OUT010,542.975539597315
FDQ47,OUT046,602.0762820000002
DRN36,OUT049,1559.3429752688173
NCY06,OUT035,2084.985989999999
FDE52,OUT035,1349.5129043321313
NCB54,OUT045,1914.7023663366338
NCF31,OUT035,2490.5268867052023
FDJ08,OUT027,5329.314724444444
NCC07,OUT017,1602.2987962790694
NCD19,OUT027,1378.2631852760742
FDL46,OUT049,1800.1922229508193
FDM20,OUT045,3910.2853034965024
NCI06,OUT010,384.48867398374
DRM11,OUT035,4433.304032653061
NCH07,OUT018,2232.8470218487396
FDS23,OUT013,1914.7023663366338
FDO49,OUT018,754.5960957264949
FDS35,OUT049,1103.1862133333334
DRK39,OUT045,1349.5129043321313
DRI39,OUT049,876.32057979798
FDV04,OUT017,2222.671282258065
NCN14,OUT035,2880.9695613636377
FDH08,OUT013,4081.0991234375015
FDS20,OUT046,3389.2269793548367
FDV40,OUT049,1103.1862133333334
FDZ48,OUT010,256.9193926605505
FDS24,OUT027,2517.882088484848
FDK44,OUT049,2568.332833644859
FDS48,OUT045,2660.9504030303033
FDK26,OUT010,542.975539597315
FDD23,OUT045,2917.3097035714286
NCH54,OUT017,2894.220710714286
NCP14,OUT010,256.9193926605505
FDM60,OUT010,130.3334905660377
FDV24,OUT017,2490.5268867052023
FDH08,OUT018,3327.9525829268296
FDS12,OUT027,3242.062071532848
FDR39,OUT027,5329.314724444444
FDP12,OUT027,1378.2631852760742
DRF60,OUT027,6280.89088
FDC09,OUT035,1784.4287381818183
FDF50,OUT018,3163.328647457628
FDG28,OUT035,3910.2853034965024
NCE19,OUT017,876.32057979798
NCM53,OUT010,256.9193926605505
NCN18,OUT049,1602.2987962790694
FDF32,OUT035,3163.328647457628
FDF11,OUT013,3910.2853034965024
DRI59,OUT049,4081.0991234375015
NCG54,OUT035,2894.220710714286
FDM44,OUT046,1602.2987962790694
FDT57,OUT018,3327.9525829268296
FDV24,OUT046,2490.5268867052023
FDI50,OUT019,542.975539597315
FDS09,OUT035,754.5960957264949
NCC31,OUT027,4117.317712631579
FDQ07,OUT019,542.975539597315
FDC22,OUT017,2917.3097035714286
FDZ56,OUT046,2894.220710714286
FDZ40,OUT019,130.3334905660377
FDS46,OUT027,3242.062071532848
DRD24,OUT045,2275.403509615385
FDV45,OUT017,3163.328647457628
