Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1612.0124052226352
FDW14,OUT017,1406.7586672639673
NCN55,OUT010,667.4314139261114
FDQ58,OUT017,2530.5728338212957
FDY38,OUT027,6083.765189252402
FDH56,OUT046,1878.2058160142558
FDL48,OUT018,583.1999228420091
FDC48,OUT027,2225.0076740932773
FDN33,OUT045,1528.4558098811412
FDA36,OUT017,3164.3323622796224
FDT44,OUT017,1955.821511894732
FDQ56,OUT045,1336.668802532031
NCC54,OUT019,591.4727885910439
FDU11,OUT049,2072.3280635206233
DRL59,OUT013,799.1556000119916
FDM24,OUT049,2469.333272255146
FDI57,OUT045,3094.9339338553664
DRC12,OUT018,2895.629411003607
NCM42,OUT027,2726.7270044802185
FDA46,OUT010,509.90141235011026
FDA31,OUT013,2864.2862472664506
NCJ31,OUT035,3965.2410501626705
FDG52,OUT046,759.4667592959721
NCL19,OUT019,358.53338746191696
FDS10,OUT035,3001.656004890459
FDX22,OUT010,598.7743410634747
NCF19,OUT035,836.1686463504768
NCE06,OUT046,2504.5767221937313
DRC27,OUT046,3885.2094721728126
FDE21,OUT035,1955.821511894732
NCR42,OUT019,8.731576892226288
FDX51,OUT018,2841.595129396395
NCR06,OUT018,480.1645529476107
FDU31,OUT027,5384.714506319113
FDU59,OUT017,2586.93501374338
FDR03,OUT027,5684.216183135923
FDS49,OUT027,2225.0076740932773
FDD48,OUT010,281.32855967014143
NCF18,OUT017,3176.0531166449523
NCD43,OUT027,2717.4041569157835
NCD54,OUT018,1711.4957969913135
FDY19,OUT010,278.14724027389235
NCY54,OUT017,2900.892939345722
NCL19,OUT018,2235.2011599574657
FDP23,OUT010,531.8923079643811
FDC26,OUT013,1815.5104116435484
FDR14,OUT010,23.652721497698693
NCS41,OUT035,3199.6791463617233
FDF41,OUT035,3758.4584787981057
FDU34,OUT046,1964.9545975052295
DRH11,OUT046,903.897755241113
FDM03,OUT013,1647.762307410711
FDS31,OUT017,3023.8397663975666
FDJ20,OUT017,2061.072795149625
FDV44,OUT027,5174.928121196443
FDG02,OUT049,3207.405905842882
FDA09,OUT013,2986.8679528016232
FDT04,OUT013,664.7269313491738
FDL58,OUT019,140.14451692216002
FDE52,OUT045,1363.4737708240261
FDW12,OUT035,2527.098152143652
FDL51,OUT017,3532.344885309096
NCY42,OUT027,3231.8563459690617
FDR07,OUT017,1531.8226621087013
FDN40,OUT045,2360.607444622127
FDB35,OUT027,2543.0724468381013
FDA22,OUT017,2674.5421113929
NCL06,OUT046,4085.818500845333
FDI35,OUT013,3001.8532684935512
NCW42,OUT045,3633.0121819471115
NCX06,OUT049,3111.3758843198143
FDC37,OUT027,2718.9938928111524
FDZ14,OUT018,1770.5749190976119
DRG49,OUT049,3944.395665832941
NCG06,OUT045,3989.2699752586063
DRC36,OUT045,2854.5809485035747
FDV21,OUT019,325.21163705757175
FDB53,OUT046,2480.0677792127185
DRP47,OUT019,797.1392794360481
FDA14,OUT013,2506.1070457978744
DRC24,OUT035,2546.0471825959203
FDW21,OUT018,1502.021917253672
NCH29,OUT046,1499.2151633871188
FDU58,OUT013,3141.518433951031
FDY27,OUT017,3005.6692791625087
FDV56,OUT035,1700.6066506975587
FDT59,OUT046,3853.0391994063693
FDB23,OUT046,3615.108907394306
FDR49,OUT045,757.8770234006028
FDB03,OUT010,623.1288301447755
FDN39,OUT045,2559.7300589849715
FDX02,OUT027,5859.849361374644
FDQ16,OUT027,2648.1448990880535
FDU35,OUT018,1418.0302551403468
NCT29,OUT013,2047.3497683395974
FDZ27,OUT046,757.8770234006028
FDN57,OUT017,2150.4577261005447
FDA03,OUT018,2179.549604327736
FDZ36,OUT045,3097.312646994016
NCU05,OUT013,1253.3940384584723
FDT39,OUT018,2163.411045490947
FDK60,OUT017,1581.9274270076623
FDZ25,OUT017,2795.7419416867624
FDG12,OUT046,2010.1672821474808
DRB01,OUT019,478.0481754090387
NCC43,OUT027,6090.8349089183475
FDX13,OUT019,748.8042801768371
FDM22,OUT049,901.219193891198
FDJ03,OUT027,1395.486642011467
FDU14,OUT018,3722.6958508822663
FDB33,OUT010,394.78787595525563
FDP27,OUT046,3126.6379654487146
FDO38,OUT010,246.27010489527024
FDE28,OUT027,6115.128997402206
FDO27,OUT035,1592.000843489103
DRL23,OUT027,2698.7430786524187
FDS28,OUT046,907.5731791283442
FDX24,OUT013,1471.2988335998664
FDZ02,OUT035,1580.3376911122928
FDL46,OUT045,1828.1016388261498
FDS60,OUT027,4645.703315656833
NCO06,OUT017,689.9573531342799
FDO16,OUT035,1407.9944310884416
FDC60,OUT049,1438.4112731965522
FDA48,OUT018,3171.0618175247187
FDZ36,OUT027,4797.707217664779
FDK27,OUT045,2010.7145211595716
FDW23,OUT018,487.33257704989666
FDM14,OUT018,1583.4310744299826
FDM14,OUT013,1647.762307410711
FDW60,OUT018,2672.638339791876
FDE21,OUT013,1899.5024869302397
NCM42,OUT035,1714.1547488566441
FDY59,OUT010,283.0540523697785
DRI49,OUT049,1283.0685152797507
FDT28,OUT019,355.6127338385406
FDQ22,OUT018,480.1645529476107
FDR60,OUT049,1334.4490242650986
FDC50,OUT019,284.64378826514786
FDV24,OUT013,2386.646711207283
DRF48,OUT010,472.0455080943672
FDQ47,OUT046,639.8384060444054
DRN36,OUT049,1564.0994246446055
NCY06,OUT035,2142.8379402819423
FDE52,OUT035,1427.018804431988
NCB54,OUT045,2038.738155639811
NCF31,OUT035,2530.5728338212957
FDJ08,OUT027,5189.9134368883715
NCC07,OUT017,1681.7981047484884
NCD19,OUT027,1684.414701369062
FDL46,OUT049,1889.1572463350967
FDM20,OUT045,3811.9054752585175
NCI06,OUT010,407.58011018816296
DRM11,OUT035,4128.363015432314
NCH07,OUT018,2326.7387587460826
FDS23,OUT013,2121.189558402128
FDO49,OUT018,586.3812422382582
FDS35,OUT049,1083.5200718483334
DRK39,OUT045,1327.8750573919635
DRI39,OUT049,954.8799462686183
FDV04,OUT017,2667.3585318289497
NCN14,OUT035,3174.020703176972
FDH08,OUT013,3929.6409317265534
FDS20,OUT046,3173.887043434079
FDV40,OUT049,1170.592468687967
FDZ48,OUT010,332.60981109207694
FDS24,OUT027,2454.37093169547
FDK44,OUT049,2931.155825131312
FDS48,OUT045,2480.0677792127185
FDK26,OUT010,530.4171368463266
FDD23,OUT045,3141.976541712757
NCH54,OUT017,2706.3953483339715
NCP14,OUT010,320.6034318052978
FDM60,OUT010,47.80363146310859
FDV24,OUT017,2442.9657361717755
FDH08,OUT018,3417.722841754719
FDS12,OUT027,3320.8981585285796
FDR39,OUT027,4757.063539104095
FDP12,OUT027,1042.4398844253044
DRF60,OUT027,6170.416772728567
FDC09,OUT035,1700.6066506975587
FDF50,OUT018,2843.926888987173
FDG28,OUT035,4003.0859818044487
NCE19,OUT017,974.5928944139504
NCM53,OUT010,330.35470399554833
NCN18,OUT049,1850.5267525673394
FDF32,OUT035,3331.360623884639
FDF11,OUT013,3979.7301055924427
DRI59,OUT049,3777.069949485372
NCG54,OUT035,2788.071110866794
FDM44,OUT046,1621.723040825555
FDT57,OUT018,3518.0921626430845
FDV24,OUT046,2360.607444622127
FDI50,OUT019,605.4779043104039
FDS09,OUT035,831.104228777463
NCC31,OUT027,3808.0475014328294
FDQ07,OUT019,632.6441226041823
FDC22,OUT017,3231.405700856833
FDZ56,OUT046,2716.8583318147575
FDZ40,OUT019,59.80518280963397
FDS46,OUT027,3030.5261911865173
DRD24,OUT045,2156.917562646262
FDV45,OUT017,3266.532977517046
FDL26,OUT045,2463.6888910462717
FDA56,OUT018,1765.847901904319
FDN27,OUT046,1717.9511230672222
FDM20,OUT049,3944.395665832941
FDO16,OUT017,1407.9944310884416
FDL03,OUT035,3200.570856579427
FDE58,OUT046,1828.1016388261498
FDI02,OUT027,3099.011836065268
NCC55,OUT019,35.68969820519513
FDR03,OUT018,3247.8068176000315
FDB14,OUT017,1511.9788277510975
FDR45,OUT013,3972.082694700029
NCN07,OUT017,2148.4253126325643
FDM51,OUT019,299.7895467574044
FDT52,OUT027,6141.71837244013
FDL26,OUT046,2463.6888910462717
NCZ42,OUT046,3860.163047652018
DRI47,OUT019,366.75824633615304
FDW40,OUT013,2187.683846424711
FDN34,OUT046,2732.1969080788
FDS01,OUT035,2963.1449487236337
NCG55,OUT045,1873.4632203450838
FDC11,OUT035,1407.0520295453625
FDX35,OUT018,3335.2223837562883
NCB06,OUT046,2620.328158898016
FDR09,OUT019,646.1189363797246
FDC53,OUT017,1583.8123727899374
FDY45,OUT013,4262.0575936764
FDA22,OUT010,433.03065568435045
FDE02,OUT035,1583.8123727899374
FDW21,OUT045,1680.2254722965763
FDV34,OUT046,1123.2857015476925
FDS59,OUT049,1687.5056655277947
NCW17,OUT017,2136.570795964085
NCK54,OUT046,1873.4632203450838
FDG17,OUT019,665.7961854267438
FDG35,OUT017,2718.761032619184
FDD08,OUT010,5.343658902171309
NCO07,OUT017,3660.368870589967
FDJ10,OUT010,435.83760471388445
FDW36,OUT017,1702.4915964798338
FDW21,OUT010,380.6955991716887
FDY19,OUT017,1910.459930375798
DRE03,OUT013,762.9870303747706
NCC55,OUT049,708.7106093254805
FDH52,OUT010,155.16515540625343
FDO09,OUT017,4684.445040053859
FDU43,OUT045,3794.795860119184
FDX09,OUT010,455.79337301562055
FDH40,OUT019,247.30080545218223
FDW58,OUT017,1633.3150892633369
FDC47,OUT017,3973.3394108653465
NCR41,OUT035,1579.1349643674491
DRG49,OUT035,3983.927936897751
FDC52,OUT027,3812.7745186261227
FDY13,OUT046,1109.5368611790202
FDY35,OUT013,669.4539485424666
FDI35,OUT017,3288.0985719247988
NCU18,OUT049,2217.973170155208
FDY33,OUT018,2342.611288436988
FDC15,OUT027,4160.115058393331
FDU01,OUT049,3095.888912190013
NCU42,OUT046,2685.005094873686
NCV29,OUT018,2630.468882461025
NCY30,OUT017,3174.020703176972
FDQ46,OUT049,1850.5267525673394
FDG58,OUT027,3812.7745186261227
FDK33,OUT017,3579.819251643316
NCD07,OUT045,1862.867239750214
NCX29,OUT027,3808.0475014328294
NCT42,OUT013,2386.646711207283
DRN59,OUT035,836.1686463504768
FDI44,OUT035,1355.7517083058
FDA45,OUT049,2600.458491935515
FDP31,OUT045,933.1934409731334
FDY01,OUT046,1842.0533547023206
FDT09,OUT018,1876.1942479953887
DRH03,OUT027,2635.469802099534
FDA36,OUT018,2811.916550369582
NCF31,OUT017,2530.5728338212957
FDG14,OUT049,2513.9971669738866
FDG28,OUT027,6089.996122259874
FDU14,OUT049,4134.6129540077345
FDY47,OUT019,329.2387154910165
FDI56,OUT049,1409.1908020689311
DRD01,OUT013,906.8426823233817
FDM22,OUT046,909.1629150237136
FDH33,OUT013,664.7269313491738
DRZ24,OUT013,1888.9065063353698
NCQ38,OUT046,1621.723040825555
FDO16,OUT027,2246.0949877498483
FDU07,OUT027,3808.0475014328294
NCB07,OUT013,3045.8330518780517
FDU48,OUT045,2046.800019842545
NCM43,OUT045,2624.037056784323
FDR31,OUT010,250.7722254569828
DRK49,OUT018,496.78252019320763
NCI30,OUT010,559.7903842219123
DRD60,OUT017,3038.4599605728226
NCG19,OUT046,3789.7056906648954
FDH12,OUT035,1702.4915964798338
FDM32,OUT035,1515.453509428742
FDM27,OUT035,2547.805876587111
NCU53,OUT027,3808.7916478177317
NCQ18,OUT046,1579.7344861143092
FDS10,OUT013,2943.175614180833
FDB33,OUT027,4160.115058393331
FDI12,OUT013,1350.3448934948817
NCW42,OUT013,3706.4609983407827
NCC06,OUT018,1765.346200502606
FDW02,OUT017,2208.933083221485
NCD43,OUT017,1702.4915964798338
FDM57,OUT018,1066.034005593741
FDA58,OUT017,4020.273748078602
FDK56,OUT046,3126.6379654487146
FDP52,OUT045,3762.6255873527407
FDW20,OUT018,1808.995522549503
FDS52,OUT049,1681.1889124391323
NCT29,OUT018,1736.2203420554015
