Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1768.1395329431637
FDW14,OUT017,1484.2049004403011
NCN55,OUT010,1876.7771061426047
FDQ58,OUT017,2504.729946851232
FDY38,OUT027,5151.208431798832
FDH56,OUT046,1963.244100752546
FDL48,OUT018,639.036752367765
FDC48,OUT027,2737.276077207705
FDN33,OUT045,1604.638113242027
FDA36,OUT017,3061.1354894035862
FDT44,OUT017,1980.2182714384676
FDQ56,OUT045,1421.2663583396225
NCC54,OUT019,1857.7023426724295
FDU11,OUT049,2062.4837880756627
DRL59,OUT013,903.1539790254067
FDM24,OUT049,2517.1226409267306
FDI57,OUT045,3231.044138020699
DRC12,OUT018,2805.434485023291
NCM42,OUT027,3215.653678706241
FDA46,OUT010,1208.7148457505127
FDA31,OUT013,2868.8272244562972
NCJ31,OUT035,3800.495790138779
FDG52,OUT046,847.7687639782758
NCL19,OUT019,354.6469699845006
FDS10,OUT035,2973.058748409461
FDX22,OUT010,1469.666645994365
NCF19,OUT035,862.270329709964
NCE06,OUT046,2541.6185442330634
DRC27,OUT046,3833.3417788131837
FDE21,OUT035,1954.5212396131842
NCR42,OUT019,-1309.463169737577
FDX51,OUT018,2898.531174804906
NCR06,OUT018,474.9451139726016
FDU31,OUT027,4915.608939835323
FDU59,OUT017,2636.5634117824125
FDR03,OUT027,4734.714645699934
FDS49,OUT027,2727.342674675043
FDD48,OUT010,-31.614325179040975
NCF18,OUT017,3117.550061492774
NCD43,OUT027,3037.868209077899
NCD54,OUT018,2006.2438890323042
FDY19,OUT010,5.971908641293908
NCY54,OUT017,2857.231437435177
NCL19,OUT018,2027.2372803376597
FDP23,OUT010,1544.7320589415863
FDC26,OUT013,1869.7790857413754
FDR14,OUT010,-951.3025835630485
NCS41,OUT035,2990.457408708731
FDF41,OUT035,3936.86471418003
FDU34,OUT046,2038.7612919381559
DRH11,OUT046,962.274011327557
FDM03,OUT013,1703.4310398696962
FDS31,OUT017,3012.707836385634
FDJ20,OUT017,2072.653929407581
FDV44,OUT027,4500.544831706009
FDG02,OUT049,3114.2813251563166
FDA09,OUT013,2970.7816783468943
FDT04,OUT013,726.7951440000899
FDL58,OUT019,2238.3187095609264
FDE52,OUT045,1524.6876618270112
FDW12,OUT035,2394.411534530035
FDL51,OUT017,3498.166428381271
NCY42,OUT027,3668.2296774014717
FDR07,OUT017,1584.515566974418
FDN40,OUT045,2471.358403685228
FDB35,OUT027,2905.899274175892
FDA22,OUT017,2658.8749661757233
NCL06,OUT046,4088.9567623508533
FDI35,OUT013,2958.259300165588
NCW42,OUT045,3539.236437977196
NCX06,OUT049,2970.838354521569
FDC37,OUT027,3213.0035763411884
FDZ14,OUT018,1760.0865746997094
DRG49,OUT049,3902.2878484845373
NCG06,OUT045,4034.1766542671066
DRC36,OUT045,2889.206014070629
FDV21,OUT019,123.54576550385389
FDB53,OUT046,2378.0896393067837
DRP47,OUT019,2029.529619124722
FDA14,OUT013,2341.392676279572
DRC24,OUT035,2452.6005081337457
FDW21,OUT018,1361.4873426692848
NCH29,OUT046,1538.5943570020677
FDU58,OUT013,3099.792958966118
FDY27,OUT017,2928.7759029795993
FDV56,OUT035,1881.374454501143
FDT59,OUT046,3650.3235038055495
FDB23,OUT046,3613.333274544261
FDR49,OUT045,861.5016835528825
FDB03,OUT010,1938.0434456094254
FDN39,OUT045,2693.74607037755
FDX02,OUT027,4957.30280961654
FDQ16,OUT027,3119.457592036611
FDU35,OUT018,1309.4601028324632
NCT29,OUT013,1993.3141791465425
