Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1815.5
FDW14,OUT017,1571.5
NCN55,OUT010,1836.5
FDQ58,OUT017,2623.5
FDY38,OUT027,5143.5
FDH56,OUT046,1935.5
FDL48,OUT018,591.5
FDC48,OUT027,2731.5
FDN33,OUT045,1539.5
FDA36,OUT017,3171.5
FDT44,OUT017,2095.5
FDQ56,OUT045,1375.5
NCC54,OUT019,1836.5
FDU11,OUT049,2091.5
DRL59,OUT013,907.5
FDM24,OUT049,2535.5
FDI57,OUT045,3199.5
DRC12,OUT018,2787.5
NCM42,OUT027,3171.5
FDA46,OUT010,1187.5
FDA31,OUT013,2879.5
NCJ31,OUT035,3808.5
FDG52,OUT046,831.5
NCL19,OUT019,320.5
FDS10,OUT035,2995.5
FDX22,OUT010,1423.5
NCF19,OUT035,836.5
NCE06,OUT046,2516.5
DRC27,OUT046,3847.5
FDE21,OUT035,1971.5
NCR42,OUT019,-1371.5
FDX51,OUT018,2859.5
NCR06,OUT018,409.5
FDU31,OUT027,4899.5
FDU59,OUT017,2759.5
FDR03,OUT027,4715.5
FDS49,OUT027,2719.5
FDD48,OUT010,-60.5
NCF18,OUT017,3202.5
NCD43,OUT027,3003.5
NCD54,OUT018,1967.5
FDY19,OUT010,-16.5
NCY54,OUT017,2930.5
NCL19,OUT018,1987.5
FDP23,OUT010,1523.5
FDC26,OUT013,1883.5
FDR14,OUT010,-988.5
NCS41,OUT035,2976.5
FDF41,OUT035,3975.5
FDU34,OUT046,2043.5
DRH11,OUT046,939.5
FDM03,OUT013,1727.5
FDS31,OUT017,3099.5
FDJ20,OUT017,2167.5
FDV44,OUT027,4471.5
FDG02,OUT049,3147.5
FDA09,OUT013,2963.5
FDT04,OUT013,731.5
FDL58,OUT019,2227.5
FDE52,OUT045,1459.5
FDW12,OUT035,2395.5
FDL51,OUT017,3599.5
NCY42,OUT027,3635.5
FDR07,OUT017,1703.5
FDN40,OUT045,2435.5
FDB35,OUT027,2879.5
FDA22,OUT017,2783.5
NCL06,OUT046,4080.5
FDI35,OUT013,2975.5
NCW42,OUT045,3480.5
NCX06,OUT049,2973.5
FDC37,OUT027,3207.5
FDZ14,OUT018,1719.5
DRG49,OUT049,3947.5
NCG06,OUT045,3984.5
DRC36,OUT045,2815.5
FDV21,OUT019,115.5
FDB53,OUT046,2387.5
DRP47,OUT019,2039.5
FDA14,OUT013,2371.5
DRC24,OUT035,2479.5
FDW21,OUT018,1319.5
NCH29,OUT046,1502.5
FDU58,OUT013,3091.5
FDY27,OUT017,3035.5
FDV56,OUT035,1875.5
FDT59,OUT046,3663.5
FDB23,OUT046,3603.5
FDR49,OUT045,803.5
FDB03,OUT010,1911.5
FDN39,OUT045,2647.5
FDX02,OUT027,4967.5
FDQ16,OUT027,3127.5
FDU35,OUT018,1291.5
NCT29,OUT013,1978.5
FDZ27,OUT046,835.5
FDN57,OUT017,2419.5
FDA03,OUT018,2063.5
FDZ36,OUT045,3011.5
NCU05,OUT013,1300.5
FDT39,OUT018,2135.5
FDK60,OUT017,1719.5
FDZ25,OUT017,2851.5
FDG12,OUT046,2007.5
DRB01,OUT019,1143.5
NCC43,OUT027,5313.5
FDX13,OUT019,2003.5
FDM22,OUT049,1019.5
FDJ03,OUT027,2275.5
FDU14,OUT018,3655.5
FDB33,OUT010,599.5
FDP27,OUT046,3075.5
FDO38,OUT010,-680.5
FDE28,OUT027,5107.5
FDO27,OUT035,1595.5
DRL23,OUT027,3091.5
FDS28,OUT046,963.5
FDX24,OUT013,1519.5
FDZ02,OUT035,1607.5
FDL46,OUT045,1923.5
FDS60,OUT027,4323.5
NCO06,OUT017,720.5
FDO16,OUT035,1423.5
FDC60,OUT049,1515.5
FDA48,OUT018,3219.5
FDZ36,OUT027,4439.5
FDK27,OUT045,1971.5
FDW23,OUT018,403.5
FDM14,OUT018,1531.5
FDM14,OUT013,1827.5
FDW60,OUT018,2607.5
FDE21,OUT013,1947.5
NCM42,OUT035,1812.5
FDY59,OUT010,-432.5
DRI49,OUT049,1399.5
FDT28,OUT019,503.5
FDQ22,OUT018,423.5
FDR60,OUT049,1351.5
FDC50,OUT019,-400.5
FDV24,OUT013,2459.5
DRF48,OUT010,1079.5
FDQ47,OUT046,679.5
DRN36,OUT049,1635.5
NCY06,OUT035,2098.5
FDE52,OUT035,1511.5
NCB54,OUT045,2008.5
NCF31,OUT035,2446.5
FDJ08,OUT027,4479.5
NCC07,OUT017,1788.5
NCD19,OUT027,2279.5
FDL46,OUT049,2051.5
FDM20,OUT045,3887.5
NCI06,OUT010,938.5
DRM11,OUT035,4111.5
NCH07,OUT018,2183.5
FDS23,OUT013,2135.5
FDO49,OUT018,571.5
FDS35,OUT049,1183.5
DRK39,OUT045,1307.5
DRI39,OUT049,1059.5
FDV04,OUT017,2679.5
NCN14,OUT035,2970.5
FDH08,OUT013,3699.5
