Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1591.3989412877008
FDW14,OUT017,1522.260932949597
NCN55,OUT010,628.4761349578076
FDQ58,OUT017,2556.246810923101
FDY38,OUT027,5849.450382697655
FDH56,OUT046,2089.1771223594014
FDL48,OUT018,659.056020792906
FDC48,OUT027,2137.7132347216484
FDN33,OUT045,1583.9570038630254
FDA36,OUT017,3128.669533053406
FDT44,OUT017,2014.7019108094166
FDQ56,OUT045,1362.100449032758
NCC54,OUT019,600.8167752562966
FDU11,OUT049,2010.734139861764
DRL59,OUT013,982.3291076503889
FDM24,OUT049,2569.5228220149747
FDI57,OUT045,3232.3741065931745
DRC12,OUT018,3090.064089209954
NCM42,OUT027,2792.987903752128
FDA46,OUT010,414.8597233068179
FDA31,OUT013,3464.215198629876
NCJ31,OUT035,3588.283676805579
FDG52,OUT046,759.4588559293873
NCL19,OUT019,377.3331459660784
FDS10,OUT035,3025.12747607022
FDX22,OUT010,621.7996062982461
NCF19,OUT035,874.979884363271
NCE06,OUT046,2531.920301688618
DRC27,OUT046,3688.815553804628
FDE21,OUT035,1823.1324337211422
NCR42,OUT019,48.24480035727071
FDX51,OUT018,2752.1117725409267
NCR06,OUT018,552.8396323371874
FDU31,OUT027,5581.553267474675
FDU59,OUT017,2723.4250771236134
FDR03,OUT027,5269.531614585052
FDS49,OUT027,2127.558873927104
FDD48,OUT010,277.45422237620244
NCF18,OUT017,2964.1158118022427
NCD43,OUT027,2382.132235096477
NCD54,OUT018,2283.9184617566266
FDY19,OUT010,258.5706166943041
NCY54,OUT017,2845.877077954448
NCL19,OUT018,2180.804789678414
FDP23,OUT010,524.164506844425
FDC26,OUT013,1701.859271536994
FDR14,OUT010,156.8726493737231
NCS41,OUT035,2808.0984147642653
FDF41,OUT035,4071.8619110907734
FDU34,OUT046,2001.9038397190823
DRH11,OUT046,887.9852389127653
FDM03,OUT013,1584.422079116298
FDS31,OUT017,3208.2221858396492
FDJ20,OUT017,2214.115665314745
FDV44,OUT027,5085.329173430792
FDG02,OUT049,3567.3901303375283
FDA09,OUT013,2821.5975469745385
FDT04,OUT013,595.0036042070866
FDL58,OUT019,616.0685850892827
FDE52,OUT045,1439.7787267967103
FDW12,OUT035,2398.088068104245
FDL51,OUT017,3859.456274056009
NCY42,OUT027,3434.9329088096215
FDR07,OUT017,1506.919686316349
FDN40,OUT045,2405.2331522426043
FDB35,OUT027,2304.3533159228646
FDA22,OUT017,2753.229714974159
NCL06,OUT046,3846.136559175982
FDI35,OUT013,3211.7413752812104
NCW42,OUT045,3245.0838481996434
NCX06,OUT049,3165.8023499207925
FDC37,OUT027,2802.5505075823526
FDZ14,OUT018,1774.3994324309253
DRG49,OUT049,4118.862268170651
NCG06,OUT045,3826.36657413508
DRC36,OUT045,2831.1427298621925
FDV21,OUT019,337.9909365986439
FDB53,OUT046,2438.4291921730983
DRP47,OUT019,781.0891589216723
FDA14,OUT013,2287.8241580441704
DRC24,OUT035,2557.206448843908
FDW21,OUT018,1395.9656783779233
NCH29,OUT046,1652.4358541010774
FDU58,OUT013,2981.395182050843
FDY27,OUT017,2977.480445978878
FDV56,OUT035,1807.2292522285077
FDT59,OUT046,3547.5676472282635
FDB23,OUT046,3596.405177338634
FDR49,OUT045,705.9718941792675
FDB03,OUT010,621.6080284802359
FDN39,OUT045,2817.4553928404866
FDX02,OUT027,5981.0966671146525
FDQ16,OUT027,2605.666946737832
FDU35,OUT018,1281.5013217078192
NCT29,OUT013,1966.9441635972328
FDZ27,OUT046,888.6926081790205
FDN57,OUT017,2436.548483944343
FDA03,OUT018,1934.868653838277
FDZ36,OUT045,3018.071589353594
NCU05,OUT013,1153.1126197662936
FDT39,OUT018,2191.0466749124453
FDK60,OUT017,1585.1299364911843
FDZ25,OUT017,2990.9827705459024
