Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1647.3904133167043
FDW14,OUT017,1364.6166054272908
NCN55,OUT010,575.0416356249414
FDQ58,OUT017,2460.9383272425925
FDY38,OUT027,5851.617892192286
FDH56,OUT046,1959.0504910993254
FDL48,OUT018,763.0290164635381
FDC48,OUT027,2146.9110283028467
FDN33,OUT045,1523.3826074191672
FDA36,OUT017,3132.6401740256506
FDT44,OUT017,1937.3241323588015
FDQ56,OUT045,1358.5403070588577
NCC54,OUT019,574.5560091378634
FDU11,OUT049,2044.3153814593293
DRL59,OUT013,873.5392219834408
FDM24,OUT049,2450.8544862076565
FDI57,OUT045,3036.155223871396
DRC12,OUT018,2937.738826167976
NCM42,OUT027,2918.0402058484883
FDA46,OUT010,505.666227825995
FDA31,OUT013,2852.439921229985
NCJ31,OUT035,3934.9672414312267
FDG52,OUT046,783.8131453272349
NCL19,OUT019,288.6383895396371
FDS10,OUT035,2968.9711997685863
FDX22,OUT010,566.9756821169036
NCF19,OUT035,758.1042182416444
NCE06,OUT046,2550.856752928186
DRC27,OUT046,3930.216886222324
FDE21,OUT035,1913.7646555539836
NCR42,OUT019,131.22581069398439
FDX51,OUT018,3005.670609879947
NCR06,OUT018,615.4162520494965
FDU31,OUT027,5851.617892192286
FDU59,OUT017,2549.588478268353
FDR03,OUT027,5849.855180774802
FDS49,OUT027,2046.7779485953786
FDD48,OUT010,268.42601516443585
NCF18,OUT017,3016.778846508791
NCD43,OUT027,2854.0659247666986
NCD54,OUT018,2101.059073942709
FDY19,OUT010,268.9515379096847
NCY54,OUT017,2874.0451472245645
NCL19,OUT018,2426.1339935201754
FDP23,OUT010,571.4906911093108
FDC26,OUT013,1736.2684963633933
FDR14,OUT010,131.22581069398439
NCS41,OUT035,3120.5539126203885
FDF41,OUT035,3994.0706519602845
FDU34,OUT046,2077.7958878555037
DRH11,OUT046,962.9093686629557
FDM03,OUT013,1647.995027499921
FDS31,OUT017,3067.205261346446
FDJ20,OUT017,2013.8946466344737
FDV44,OUT027,5141.170048303793
FDG02,OUT049,3147.9535916738323
FDA09,OUT013,2991.5240494887053
FDT04,OUT013,705.8729845418522
FDL58,OUT019,572.4055791406712
FDE52,OUT045,1385.0296535833206
