Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1646.2314422674576
FDW14,OUT017,1387.1166054312866
NCN55,OUT010,1784.044583356044
FDQ58,OUT017,2389.9905690955975
FDY38,OUT027,4884.698988657899
FDH56,OUT046,1975.860714381548
FDL48,OUT018,793.8803794117733
FDC48,OUT027,2582.8002227212137
FDN33,OUT045,1500.2048961219505
FDA36,OUT017,3201.7313132131435
FDT44,OUT017,2098.2052829770646
FDQ56,OUT045,1380.207021324828
NCC54,OUT019,1733.1235835246064
FDU11,OUT049,2291.354780314723
DRL59,OUT013,1034.9706596755095
FDM24,OUT049,2556.3566303187527
FDI57,OUT045,3326.998908844783
DRC12,OUT018,2882.1557581309835
NCM42,OUT027,3292.3674988738467
FDA46,OUT010,1447.281350361587
FDA31,OUT013,3130.9064665289775
NCJ31,OUT035,3593.5315730154243
FDG52,OUT046,877.6740135564638
NCL19,OUT019,413.54625098842257
FDS10,OUT035,3169.7781156658534
FDX22,OUT010,1615.1646822070725
NCF19,OUT035,1030.8271448423045
NCE06,OUT046,2248.0443766388594
DRC27,OUT046,3427.5510657127033
FDE21,OUT035,2115.5412242699476
NCR42,OUT019,-950.9826605479041
FDX51,OUT018,3004.738175912689
NCR06,OUT018,667.7169061671045
FDU31,OUT027,4760.301135444517
FDU59,OUT017,2462.597080327022
FDR03,OUT027,4657.838220022963
FDS49,OUT027,2577.614279638464
FDD48,OUT010,270.33237260447834
NCF18,OUT017,3197.7427929178966
NCD43,OUT027,2722.337314439751
NCD54,OUT018,1958.359376209284
FDY19,OUT010,282.05463568182824
NCY54,OUT017,3066.2476486900405
NCL19,OUT018,1974.9690046344017
FDP23,OUT010,1635.0708000988234
FDC26,OUT013,2078.4899252617543
FDR14,OUT010,-699.0334538892942
NCS41,OUT035,3161.8766928864106
FDF41,OUT035,3696.763580835383
FDU34,OUT046,1988.1948874158193
DRH11,OUT046,902.6016912303447
FDM03,OUT013,1514.879699012697
FDS31,OUT017,3189.756976412451
FDJ20,OUT017,2165.07110003912
FDV44,OUT027,4538.095247212329
FDG02,OUT049,3366.607414645279
FDA09,OUT013,3200.941916831949
FDT04,OUT013,983.2114068715208
FDL58,OUT019,1993.4800313895998
FDE52,OUT045,1453.276309854544
FDW12,OUT035,2377.927509542925
FDL51,OUT017,3444.9703013888975
NCY42,OUT027,3536.5606169207244
FDR07,OUT017,1408.6235723127431
FDN40,OUT045,2419.500237334013
FDB35,OUT027,2691.724818687452
FDA22,OUT017,2473.1295160256486
NCL06,OUT046,3585.6469037900115
FDI35,OUT013,3172.8798744592436
NCW42,OUT045,3471.837073821198
NCX06,OUT049,3257.084088269034
FDC37,OUT027,3305.4653498196835
FDZ14,OUT018,1881.5166014392262
DRG49,OUT049,3748.2815447866687
NCG06,OUT045,3740.83513115975
DRC36,OUT045,3125.4209797153912
FDV21,OUT019,315.38514619547107
FDB53,OUT046,2175.9480959972057
DRP47,OUT019,1806.9304627076879
FDA14,OUT013,2327.7800114050688
DRC24,OUT035,2335.963369800056
FDW21,OUT018,1196.8983623435327
NCH29,OUT046,1235.1108036694382
FDU58,OUT013,3276.7963295321597
FDY27,OUT017,3129.8858409359586
FDV56,OUT035,2093.714536197871
FDT59,OUT046,3372.7911914678402
FDB23,OUT046,3368.428685841865
FDR49,OUT045,1075.9517324439112
FDB03,OUT010,1858.0675410971676
FDN39,OUT045,2547.958468483641
FDX02,OUT027,4757.073011686245
FDQ16,OUT027,2779.573409102495
FDU35,OUT018,1147.088392415723
NCT29,OUT013,2119.882707050496
FDZ27,OUT046,885.9620198177824
FDN57,OUT017,2267.091228215184
FDA03,OUT018,2051.0241951979374
FDZ36,OUT045,3278.6809577806625
NCU05,OUT013,1285.269759344992
FDT39,OUT018,2104.9168500796454
FDK60,OUT017,1455.938629421544
FDZ25,OUT017,2532.0922145007803
FDG12,OUT046,2017.064496101686
DRB01,OUT019,1344.4853134374487
NCC43,OUT027,4943.78995293234
FDX13,OUT019,1838.7990048650045
FDM22,OUT049,1269.109478333782
FDJ03,OUT027,2371.1606524272543
FDU14,OUT018,3380.7288932600304
FDB33,OUT010,611.1117443406121
FDP27,OUT046,3069.644745593502
FDO38,OUT010,-543.0344680793733
FDE28,OUT027,4871.755366161832
FDO27,OUT035,1478.9927895703097
DRL23,OUT027,2721.350641905585
FDS28,OUT046,985.9469376216459
FDX24,OUT013,1409.5803170512547
FDZ02,OUT035,1486.024681122366
FDL46,OUT045,2130.1744027570903
FDS60,OUT027,4410.000602549877
NCO06,OUT017,885.0411611549436
FDO16,OUT035,1356.8249791604649
FDC60,OUT049,1541.7128200542147
FDA48,OUT018,3157.64103008554
FDZ36,OUT027,4522.512727388342
FDK27,OUT045,2167.5392587629567
FDW23,OUT018,679.3856814694669
FDM14,OUT018,1741.5462568607259
FDM14,OUT013,2044.5839144529086
FDW60,OUT018,2876.363809235318
FDE21,OUT013,2108.9987500307825
NCM42,OUT035,2033.1374433971005
FDY59,OUT010,-401.5595944309607
DRI49,OUT049,1393.3265452310932
FDT28,OUT019,517.5789312044508
FDQ22,OUT018,675.2272874399831
FDR60,OUT049,1410.2428573357372
FDC50,OUT019,-440.4163442494887
FDV24,OUT013,2388.5587507492264
DRF48,OUT010,1359.3146967421471
FDQ47,OUT046,837.3152744531021
DRN36,OUT049,1516.2713992578706
NCY06,OUT035,2173.0672220033257
FDE52,OUT035,1430.1567746602018
NCB54,OUT045,2184.662222419329
NCF31,OUT035,2364.0314161114056
FDJ08,OUT027,4504.017007787939
NCC07,OUT017,1448.6849557408032
NCD19,OUT027,2339.0197581495822
FDL46,OUT049,2251.1162875960044
FDM20,OUT045,3702.307175797711
NCI06,OUT010,1313.8517227014715
DRM11,OUT035,3734.1412499666194
NCH07,OUT018,2082.098476027789
FDS23,OUT013,2217.2484771760437
FDO49,OUT018,794.1612768841625
FDS35,OUT049,1327.9613850599033
DRK39,OUT045,1303.6095479205092
DRI39,OUT049,1215.7915444049454
FDV04,OUT017,2452.446615182888
NCN14,OUT035,3150.7416597544966
FDH08,OUT013,3563.6386065272027
FDS20,OUT046,3010.1422913506804
FDV40,OUT049,1398.7292494486414
FDZ48,OUT010,236.84889129573764
FDS24,OUT027,2662.0425473756736
FDK44,OUT049,3247.0563302226515
FDS48,OUT045,2393.7906013461934
FDK26,OUT010,1442.1201440588966
FDD23,OUT045,3297.631714166856
NCH54,OUT017,2400.933528818535
NCP14,OUT010,-337.71595391705455
FDM60,OUT010,-785.2061516927772
FDV24,OUT017,2362.738296994461
FDH08,OUT018,3228.171701768864
FDS12,OUT027,3461.452650112137
FDR39,OUT027,4424.845246981067
FDP12,OUT027,2277.8955922420837
DRF60,OUT027,4810.5809774843465
FDC09,OUT035,1527.256345468186
FDF50,OUT018,2997.1914480181213
FDG28,OUT035,3706.5170764447844
NCE19,OUT017,1067.7294166364775
NCM53,OUT010,184.71904802378913
NCN18,OUT049,2166.6584499634046
FDF32,OUT035,3314.545445067155
FDF11,OUT013,3665.471011305049
DRI59,OUT049,3591.9998176714375
NCG54,OUT035,2491.860872584298
FDM44,OUT046,1293.041336034718
FDT57,OUT018,3278.442325363208
FDV24,OUT046,2202.8325852970474
FDI50,OUT019,1717.5606072950081
FDS09,OUT035,1135.4174683513156
NCC31,OUT027,3637.3651211127376
FDQ07,OUT019,1643.5695207093777
FDC22,OUT017,3279.2275614307064
FDZ56,OUT046,2333.1824776825106
FDZ40,OUT019,-748.9459557547709
FDS46,OUT027,3421.9763377070585
DRD24,OUT045,2264.8107915595792
FDV45,OUT017,3209.3364195061954
FDL26,OUT045,2432.3041114288144
FDA56,OUT018,1845.4821416249206
FDN27,OUT046,1933.8950052231776
FDM20,OUT049,3798.541062795745
FDO16,OUT017,1315.1965519762034
FDL03,OUT035,3324.4183169077155
FDE58,OUT046,1927.0280371467134
FDI02,OUT027,3376.1708525776976
NCC55,OUT019,-899.9760679814378
FDR03,OUT018,3082.851033254648
FDB14,OUT017,1417.0229378592367
FDR45,OUT013,3636.4541849113334
NCN07,OUT017,2153.4111016644283
FDM51,OUT019,-338.5459695234629
FDT52,OUT027,4970.776108044786
FDL26,OUT046,2215.3716866780724
NCZ42,OUT046,3406.963089800065
DRI47,OUT019,418.5328648187233
FDW40,OUT013,2338.6605274415388
FDN34,OUT046,2372.5422520679585
FDS01,OUT035,3158.4991321230964
NCG55,OUT045,2095.054292578381
FDC11,OUT035,1364.6135343688334
